,year,home_team,home_goals,home_Possession %,home_Total Shots,home_On Target,home_Off Target,home_Blocked,home_Passing %,home_Clear-Cut Chances,home_Corners,home_Offsides,home_Tackles %,home_Aerial Duels %,home_Saves,home_Fouls Committed,home_Fouls Won,home_Yellow Cards,home_Red Cards,away_team,away_goals,away_Possession %,away_Total Shots,away_On Target,away_Off Target,away_Blocked,away_Passing %,away_Clear-Cut Chances,away_Corners,away_Offsides,away_Tackles %,away_Aerial Duels %,away_Saves,away_Fouls Committed,away_Fouls Won,away_Yellow Cards,away_Red Cards,home_form_1,home_form_2,home_form_3,home_form_4,home_form_5,home_form_6,away_form_1,away_form_2,away_form_3,away_form_4,away_form_5,away_form_6,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
949,2018-19,Stuttgart,1,62.1,17,5,4,8,79.8,1,2,0,66.7,46.3,3,10,17,3,0,Schalke,3,37.9,14,6,7,1,66,3,5,1,55.6,53.7,4,18,9,5,0,1 - 1,1 - 1,2 - 0,1 - 1,4 - 1,2 - 3,4 - 1,1 - 1,0 - 3,1 - 1,0 - 4,1 - 3,R Zieler,A Beck,T Baumgartl,M Kempf,E Insúa,C Gentner,S Ascacibar,E Thommy,D Didavi,N González,M Gomez,R Fährmann,D Caligiuri,S Sané,M Nastasic,B Oczipka,B Stambouli,N Bentaleb,A Schöpf,S Serdar,Y Konoplyanka,S Skrzybski
950,2018-19,Frankfurt,0,38.6,10,3,6,1,74.1,2,3,4,60,57.1,4,10,4,2,0,Bay Munich,3,61.4,9,7,2,0,83.2,3,4,2,71.4,42.9,3,5,10,1,0,1 - 1,0 - 5,1 - 1,2 - 1,3 - 1,1 - 1,6 - 2,2 - 1,2 - 1,5 - 0,4 - 0,4 - 1,K Trapp,C Salcedo,S Falette,O Ndicka,D da Costa,M Gacinovic,G Fernandes,J Willems,F Kostic,S Haller,L Jovic,M Neuer,Rafinha ,N Süle,J Boateng,D Alaba,Javi Martínez ,T Müller,J Kimmich,Thiago ,F Ribéry,R Lewandowski
951,2018-19,B Dortmund,2,54.1,12,4,6,2,91.5,2,4,2,50,77.8,1,5,12,0,0,M'gladbach,1,45.9,3,2,0,1,89.6,0,2,3,91.7,22.2,2,12,5,1,0,3 - 0,2 - 0,2 - 0,3 - 0,1 - 3,1 - 0,6 - 0,1 - 0,2 - 2,3 - 2,2 - 2,1 - 1,R Bürki,L Piszczek,J Weigl,Ö Toprak,A Hakimi,A Witsel,T Delaney,J Sancho,M Reus,R Guerreiro,P Alcácer,Y Sommer,F Johnson,L Beyer,T Strobl,O Wendt,F Neuhaus,C Kramer,D Zakaria,P Herrmann,A Pléa,T Hazard
952,2018-19,Schalke,1,54.6,18,4,11,3,78.9,3,7,4,55,61,3,16,18,4,0,Leverkusen,2,45.4,8,5,3,0,74.3,0,1,0,50,39,3,21,15,4,0,4 - 1,1 - 1,0 - 3,1 - 1,0 - 4,1 - 3,4 - 2,0 - 1,3 - 1,6 - 2,1 - 0,1 - 1,R Fährmann,D Caligiuri,S Sané,M Nastasic,B Oczipka,A Schöpf,B Stambouli,N Bentaleb,A Harit,W McKennie,H Wright,L Hrádecky,M Weiser,J Tah,A Dragovic,B Wendell,D Kohr,J Baumgartlinger,K Bellarabi,K Havertz,L Bailey,L Alario
953,2018-19,Bay Munich,1,60.4,10,4,4,2,78.8,3,5,2,70.6,42.9,2,10,20,0,1,RB Leipzig,0,39.6,8,2,4,2,67.7,2,5,3,71.4,57.1,3,21,9,2,1,6 - 2,2 - 1,2 - 1,5 - 0,4 - 0,4 - 1,2 - 1,0 - 1,0 - 5,2 - 1,2 - 0,2 - 0,M Neuer,J Kimmich,N Süle,M Hummels,D Alaba,L Goretzka,Thiago ,S Gnabry,T Müller,K Coman,R Lewandowski,P Gulácsi,L Klostermann,I Konate,D Upamecano,M Halstenberg,K Laimer,D Demme,K Kampl,Bruma ,Y Poulsen,T Werner
954,2018-19,Mainz,2,50.2,17,6,6,5,71.8,2,3,3,76.9,48.4,2,14,15,3,0,Frankfurt,2,49.8,12,4,6,2,71.2,1,2,2,50,51.6,3,15,14,3,0,1 - 3,2 - 3,0 - 1,0 - 4,1 - 4,1 - 3,1 - 1,0 - 5,1 - 1,2 - 1,3 - 1,1 - 1,R Zentner,D Brosinski,S Bell,M Niakhate,A Martin Caricol,J Gbamin,P Malong,D Latza,J Boëtius,J Mateta,R Quaison,K Trapp,C Salcedo,S Falette,O Ndicka,D da Costa,G Fernandes,J de Guzmán,F Kostic,M Gacinovic,S Haller,L Jovic
955,2018-19,Freiburg,1,46.6,14,7,5,2,73.8,2,5,2,77.3,43.2,2,13,14,0,0,Hannover,1,53.4,18,3,15,0,80.1,2,2,0,71.4,56.8,6,15,12,2,0,2 - 4,1 - 1,1 - 1,0 - 4,1 - 1,3 - 2,1 - 4,3 - 0,0 - 1,4 - 1,1 - 2,2 - 0,A Schwolow,M Gulde,R Koch,D Heintz,P Stenzel,M Frantz,J Haberer,C Günter,L Waldschmidt,N Petersen,M Terrazzino,M Esser,O Sorg,W Anton,F Trevizan Martins,G Haraguchi,W Souza Silva,P Schwegler,M Albornoz,F Muslija,H Weydandt,B Wood
956,2018-19,W Bremen,1,51.3,26,5,11,10,76.4,3,6,1,60.9,37,3,7,13,0,0,Hoffenheim,1,48.7,14,4,6,4,76.7,2,3,3,56,63,4,13,7,1,0,1 - 1,1 - 1,1 - 1,1 - 0,3 - 1,1 - 4,1 - 3,4 - 1,1 - 1,2 - 0,0 - 1,1 - 2,J Pavlenka,T Gebre Selassie,S Langkamp,N Moisander,L Augustinsson,K Möhwald,M Eggestein,D Klaassen,Y Osako,J Eggestein,M Kruse,O Baumann,K Adams Nuhu,S Posch,E Bicakcic,P Kaderábek,L Bittencourt,K Demirbay,N Schulz,A Kramaric,A Szalai,Joelinton 
957,2018-19,M'gladbach,2,53.2,16,7,7,2,87.3,4,6,2,69.2,52.4,2,6,19,2,0,Nurnberg,0,46.8,7,2,2,3,85.2,0,7,2,45,47.6,4,19,5,3,0,6 - 0,1 - 0,2 - 2,3 - 2,2 - 2,1 - 1,2 - 3,1 - 1,2 - 2,2 - 3,1 - 0,1 - 1,Y Sommer,F Johnson,L Beyer,N Elvedi,O Wendt,F Neuhaus,T Strobl,D Zakaria,I Traoré,A Pléa,T Hazard,F Bredlow,K Goden,G Margreitter,L Mühl,T Leibold,O Petrák,V Misidjan,A Fuchs,F Palacios-Martinez,M Pereira,A Zrelák
958,2018-19,F Dusseldorf,2,27.1,8,3,3,2,68.9,2,2,0,57.1,45.2,2,8,13,1,0,B Dortmund,1,72.9,11,3,1,7,88,2,2,4,61.5,54.8,1,13,8,2,0,1 - 0,0 - 3,2 - 2,1 - 2,1 - 0,1 - 2,3 - 0,2 - 0,2 - 0,3 - 0,1 - 3,1 - 0,M Rensing,M Zimmermann,K Ayhan,M Kaminski,N Gießelmann,M Sobottka,O Fink,J Zimmer,K Stöger,T Usami,D Lukebakio,R Bürki,L Piszczek,M Akanji,A Diallo,M Schmelzer,A Witsel,T Delaney,C Pulisic,M Reus,J Bruun Larsen,M Götze
959,2018-19,Hertha,2,45.3,18,7,6,5,72.1,2,3,3,46.7,55.4,0,19,13,1,0,FC Augsburg,2,54.7,9,2,4,3,73.1,1,2,1,52.4,44.6,5,14,17,0,0,1 - 1,1 - 2,0 - 2,3 - 4,1 - 3,4 - 1,3 - 1,1 - 3,0 - 2,0 - 0,2 - 0,3 - 1,R Jarstein,P Pekarík,F Lustenberger,J Torunarigha,M Plattenhardt,M Leckie,V Lazaro,A Maier,M Mittelstädt,O Duda,D Selke,A Luthe,J Schmid,K Danso,M Hinteregger,P Max,R Khedira,J Koo,M Gregoritsch,D Baier,D Ji,A Finnbogason
960,2018-19,Wolfsburg,2,56.5,16,5,7,4,76.6,0,4,2,61.5,68.8,1,10,17,1,0,Stuttgart,0,43.5,11,1,7,3,72.7,0,8,2,75,31.3,3,17,10,2,0,1 - 1,2 - 1,1 - 1,0 - 0,1 - 2,1 - 1,1 - 1,1 - 1,2 - 0,1 - 1,4 - 1,2 - 3,K Casteels,W de Asevedo Furtado,R Knoche,J Brooks,J Roussillon,Y Gerhardt,J Guilavogui,M Arnold,A Mehmedi,W Weghorst,D Ginczek,R Zieler,A Aidonis,T Baumgartl,M Kempf,E Insúa,S Ascacibar,A Donis,C Gentner,C Akolo,N González,M Gomez
961,2018-19,RB Leipzig,4,43.1,18,7,8,3,68.9,5,6,1,52.6,50,4,10,13,3,0,Mainz,1,56.9,12,5,5,2,78.6,2,2,2,66.7,50,4,13,9,3,0,2 - 1,0 - 1,0 - 5,2 - 1,2 - 0,2 - 0,1 - 3,2 - 3,0 - 1,0 - 4,1 - 4,1 - 3,P Gulácsi,I Konate,W Orban,D Upamecano,D Demme,L Klostermann,M Sabitzer,K Kampl,M Halstenberg,Y Poulsen,T Werner,R Zentner,D Brosinski,S Bell,M Niakhate,A Martin Caricol,J Gbamin,L Öztunali,D Latza,R Quaison,K Onisiwo,J Mateta
962,2018-19,Frankfurt,2,47.1,17,7,8,2,74.8,4,10,1,70.6,56.5,4,10,8,6,0,Leverkusen,1,52.9,11,6,3,2,74.2,1,7,5,31.6,43.5,5,9,9,2,0,1 - 1,0 - 5,1 - 1,2 - 1,3 - 1,1 - 1,4 - 2,0 - 1,3 - 1,6 - 2,1 - 0,1 - 1,K Trapp,C Salcedo,S Falette,O Ndicka,D da Costa,G Fernandes,J Willems,F Kostic,M Gacinovic,S Haller,A Rebic,L Hrádecky,M Weiser,J Tah,A Dragovic,T Jedvaj,D Kohr,C Aránguiz,K Bellarabi,K Havertz,J Brandt,K Volland
963,2018-19,FC Augsburg,1,48.5,15,9,2,4,70.2,3,6,2,45.8,53.3,4,17,8,2,0,Schalke,1,51.5,15,5,7,3,74.6,1,7,3,63.6,46.7,8,10,17,1,0,3 - 1,1 - 3,0 - 2,0 - 0,2 - 0,3 - 1,4 - 1,1 - 1,0 - 3,1 - 1,0 - 4,1 - 3,A Luthe,J Schmid,J Gouweleeuw,M Hinteregger,P Max,R Khedira,J Koo,M Gregoritsch,D Baier,M Richter,A Finnbogason,R Fährmann,S Sané,Naldo ,B Stambouli,D Caligiuri,S Serdar,S Rudy,B Oczipka,S Skrzybski,C Teuchert,A Harit
964,2018-19,F Dusseldorf,2,36.6,21,8,9,4,75.5,4,4,1,53.3,50,2,13,10,2,0,Freiburg,0,63.4,6,2,3,1,83.7,1,1,0,63.6,50,7,10,12,1,0,1 - 0,0 - 3,2 - 2,1 - 2,1 - 0,1 - 2,2 - 4,1 - 1,1 - 1,0 - 4,1 - 1,3 - 2,M Rensing,M Zimmermann,K Ayhan,M Kaminski,N Gießelmann,T Usami,K Stöger,A Bodzek,B Raman,K Karaman,R Hennings,A Schwolow,L Kübler,M Gulde,D Heintz,C Günter,J Haberer,R Koch,J Gondorf,L Waldschmidt,M Frantz,N Petersen
