,0
Fernandinho                            (c),87
E Garcia,66
A Laporte,87
Fernandinho ,87
B Mendy,80
O Zinchenko,78
K De Bruyne,91
I Gündogan,84
D Silva,88
B Silva,88
P Foden,76
R Sterling,88
R Mahrez,84
S Agüero,89
G Jesus,82
P Reina,61
Ø Nyland,74
T Heaton,76
E Konsa Ngoyo,61
A Elmohamady,74
B Engels,66
T Mings,76
K Hause,74
F Guilbert,75
M Targett,77
N Taylor,71
D Drinkwater,61
M Nakamba,75
J McGinn,71
Douglas Luiz ,74
A El Ghazi,56
C Hourihane,75
Trezeguet ,75
J Grealish,62
M Samatta,75
K Davis,74
Wesley ,77
Jota ,61
H Lansbury,74
D Henderson,75
C Basham,73
J Egan,74
J O'Connell,74
J Robinson,73
G Baldock,69
J Lundstram,67
S Berge,66
O Norwood,75
J Fleck,73
B Osborn,72
E Stevens,74
O McBurnie,74
D McGoldrick,72
B Sharp,74
S Moore,67
P Jagielka,76
L Mousset,71
