,year,date,venue,attendance,home_team,home_goals,home_Possession %,home_Total Shots,home_On Target,home_Off Target,home_Blocked,home_Passing %,home_Clear-Cut Chances,home_Corners,home_Offsides,home_Tackles %,home_Aerial Duels %,home_Saves,home_Fouls Committed,home_Fouls Won,home_Yellow Cards,home_Red Cards,away_team,away_goals,away_Possession %,away_Total Shots,away_On Target,away_Off Target,away_Blocked,away_Passing %,away_Clear-Cut Chances,away_Corners,away_Offsides,away_Tackles %,away_Aerial Duels %,away_Saves,away_Fouls Committed,away_Fouls Won,away_Yellow Cards,away_Red Cards,home_form_1,home_form_2,home_form_3,home_form_4,home_form_5,home_form_6,away_form_1,away_form_2,away_form_3,away_form_4,away_form_5,away_form_6,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
0,2012-13,"4:00pm, Sunday 19th May 2013.",Stamford Bridge,"41,794.",Chelsea,2,43.5,23,6,10,7,84.2,0,7,1,82.6,40,6,8,9,2,0,Everton,1,56.5,20,7,8,5,88.4,3,4,1,95.5,60,4,9,7,1,0,3 - 0,3 - 0,4 - 0,0 - 0,0 - 0,3 - 3,1 - 2,0 - 2,2 - 2,4 - 2,4 - 1,2 - 1,P Cech,B Ivanovic,G Cahill,D Luiz,A Cole,F Lampard,N Aké,F Torres,J Mata,Oscar ,D Ba,T Howard,S Coleman,P Jagielka,S Distin,L Baines,K Mirallas,D Gibson,M Fellaini,S Pienaar,S Naismith,V Anichebe
1,2012-13,"4:00pm, Sunday 19th May 2013.",Anfield,"44,792.",Liverpool,1,66.4,15,8,7,0,88.3,0,14,2,0,0,0,7,3,1,0,QPR,0,33.6,7,0,7,0,77.2,0,0,1,0,0,0,4,6,3,0,5 - 0,2 - 1,2 - 0,2 - 1,1 - 0,2 - 2,1 - 0,3 - 2,0 - 3,0 - 0,0 - 2,0 - 0,P Reina,G Johnson,J Carragher,M Skrtel,Jose Enrique ,S Downing,L Leiva,J Henderson,J Ibe,P Coutinho,D Sturridge,R Green,M Harriman,N Onuoha,C Hill,A Traore,J Park,S Derry,S Mbia,L Remy,B Zamora,A Townsend
2,2012-13,"4:00pm, Sunday 19th May 2013.",Etihad Stadium,"47,054.",Man City,2,60.3,9,3,6,0,87.3,0,7,2,0,0,0,11,8,1,0,Norwich,3,39.7,14,7,7,0,81.1,0,7,2,0,0,0,9,10,0,0,3 - 0,1 - 0,3 - 0,1 - 1,3 - 1,1 - 0,0 - 0,3 - 1,1 - 1,2 - 1,1 - 0,2 - 1,J Hart,P Zabaleta,M Richards,J Lescott,A Kolarov,Y Touré,J Rodwell,J Milner,S Nasri,C Tévez,E Dzeko,J Ruddy,S Whittaker,R Martin,R Bennett,J Garrido,R Snodgrass,B Johnson,J Howson,A Pilkington,W Hoolahan,G Holt
3,2012-13,"4:00pm, Sunday 19th May 2013.","St James' Park, Newcastle","52,354.",Newcastle,0,50.7,5,1,4,0,84.8,0,4,2,0,0,0,18,10,1,0,Arsenal,1,49.3,8,2,6,0,79.7,0,4,2,0,0,0,10,17,2,0,2 - 1,1 - 1,1 - 4,3 - 1,1 - 1,1 - 1,4 - 1,1 - 0,3 - 0,0 - 1,2 - 1,0 - 1,S Harper,M Debuchy,S Taylor,F Coloccini,M Yanga-Mbiwa,H Ben Arfa,Y Cabaye,C Tiote,J Gutiérrez,Y Gouffran,P Cisse,W Szczesny,B Sagna,P Mertesacker,L Koscielny,K Gibbs,A Ramsey,M Arteta,T Walcott,T Rosicky,S Cazorla,L Podolski
4,2012-13,"4:00pm, Sunday 19th May 2013.",St. Mary's Stadium,"31,539.",So'ton,1,63,11,7,4,0,83.5,0,3,3,0,0,0,10,7,0,0,Stoke,1,37,8,3,5,0,72.3,0,4,2,0,0,0,7,9,2,0,4 - 3,2 - 0,3 - 3,2 - 0,1 - 0,2 - 5,2 - 3,1 - 0,0 - 2,3 - 2,2 - 2,2 - 0,K Davis,N Clyne,J Fonte,J Hooiveld,L Shaw,S Davis,M Schneiderlin,J Cork,A Lallana,J Rodriguez,R Lambert,A Begovic,R Shotton,R Shawcross,R Huth,M Wilson,G Cameron,D Whitehead,S N'Zonzi,M Etherington,P Crouch,J Walters
5,2012-13,"4:00pm, Sunday 19th May 2013.",The Liberty Stadium,"20,365.",Swansea ,0,64.4,20,10,10,0,92,0,8,5,0,0,0,12,10,3,0,Fulham,3,35.6,8,5,3,0,81.2,0,0,1,0,0,0,10,12,1,0,1 - 1,2 - 0,2 - 0,1 - 1,1 - 1,1 - 2,2 - 0,1 - 2,1 - 1,0 - 1,0 - 3,0 - 3,M Vorm,A Rangel,Chico ,A Williams,B Davies,P Hernández,L Britton,W Routledge,J de Guzmán,N Dyer,Michu ,M Schwarzer,S Riether,P Senderos,B Hangeland,J Riise,D Duff,E Frimpong,A Kacaniklic,E Enoh,D Berbatov,B Ruiz
6,2012-13,"4:00pm, Sunday 19th May 2013.",White Hart Lane,"36,763.",Tottenham,1,68.2,21,14,7,0,81.8,0,14,4,0,0,0,7,13,1,0,S'land,0,31.8,6,3,3,0,69.4,0,1,2,0,0,0,14,5,2,1,2 - 1,0 - 1,1 - 0,3 - 0,3 - 3,6 - 1,2 - 1,2 - 0,2 - 2,1 - 3,1 - 0,2 - 0,H Lloris,K Walker,J Vertonghen,M Dawson,B Assou-Ekotto,A Lennon,S Parker,T Huddlestone,C Dempsey,G Bale,E Adebayor,S Mignolet,J Colback,J O'Shea,C Cuellar,J McClean,S Larsson,D Vaughan,A N'Diaye,A Johnson,C Wickham,D Graham
7,2012-13,"4:00pm, Sunday 19th May 2013.",The Hawthorns,"26,438.",W Brom,5,35.4,19,6,7,6,79.1,7,3,4,84.2,63.2,2,12,7,0,0,Man Utd,5,64.6,15,6,4,5,87.5,5,5,2,80,36.8,1,8,12,1,0,0 - 2,1 - 1,0 - 0,0 - 2,3 - 3,2 - 2,1 - 2,0 - 1,5 - 0,0 - 0,2 - 1,4 - 1,B Foster,B Jones,G McAuley,J Olsson,L Ridgewell,C Yacob,Y Mulumbu,G Dorrans,J Morrison,C Brunt,S Long,A Lindegaard,A Valencia,J Evans,P Jones,A Büttner,Anderson ,M Carrick,T Cleverley,S Kagawa,R van Persie,J Hernández
8,2012-13,"4:00pm, Sunday 19th May 2013.",Boleyn Ground,"34,973.",West Ham,4,48.4,19,10,9,0,77.6,0,6,5,0,0,0,13,9,2,0,Reading,2,51.6,15,6,9,0,77.5,0,4,1,0,0,0,10,13,1,0,1 - 2,1 - 1,3 - 3,3 - 0,1 - 4,4 - 0,0 - 3,2 - 3,4 - 2,3 - 0,1 - 0,0 - 0,J Jaaskelainen,G Demel,J Collins,W Reid,J O'Brien,M Diamé,M Noble,K Nolan,R Vaz Te,A Carroll,J Cole,A McCarthy,C Gunter,S Morrison,K Gorkss,S Kelly,G McCleary,J Karacan,D Guthrie,J McAnuff,P Pogrebnyak,H Robson-Kanu
9,2012-13,"7:45pm, Tuesday 14th May 2013.",Emirates Stadium,"60,068.",Arsenal,4,47.5,17,10,7,0,80.3,0,7,2,0,0,0,12,11,0,0,Wigan ,1,52.5,7,2,5,0,84.2,0,4,5,0,0,0,11,10,2,0,1 - 0,3 - 0,0 - 1,2 - 1,0 - 1,2 - 1,0 - 1,2 - 3,0 - 2,1 - 1,0 - 1,0 - 1,W Szczesny,B Sagna,P Mertesacker,L Koscielny,K Gibbs,A Ramsey,M Arteta,T Rosicky,T Walcott,S Cazorla,L Podolski,Joel ,E Boyce,P Scharner,A Alcaraz,R Espinoza,C McManaman,S Maloney,J McCarthy,J McArthur,A Kone,J Gomez
10,2012-13,"8:00pm, Tuesday 14th May 2013.",The Madejski Stadium,"22,859.",Reading,0,38.7,10,7,3,0,83,0,4,1,0,0,0,7,7,0,0,Man City,2,61.3,19,11,8,0,87.9,0,10,2,0,0,0,8,7,1,0,0 - 3,2 - 3,4 - 2,3 - 0,1 - 0,0 - 0,3 - 0,1 - 0,3 - 0,1 - 1,3 - 1,1 - 0,A McCarthy,C Gunter,S Morrison,A Mariappa,S Kelly,J Karacan,D Guthrie,G McCleary,J McAnuff,H Robson-Kanu,P Pogrebnyak,J Hart,M Richards,K Touré,J Lescott,G Clichy,Y Touré,G Barry,J Milner,D Silva,C Tévez,S Agüero
11,2012-13,"1:30pm, Sunday 12th May 2013.",Bet365 Stadium,"27,531.",Stoke,1,32.7,4,1,3,0,69.3,0,2,0,0,0,0,12,5,3,1,Tottenham,2,67.3,15,7,8,0,88.4,0,11,4,0,0,0,6,11,1,0,2 - 3,1 - 0,0 - 2,3 - 2,2 - 2,2 - 0,2 - 1,0 - 1,1 - 0,3 - 0,3 - 3,6 - 1,A Begovic,R Shotton,R Shawcross,R Huth,M Wilson,C Adam,D Whitehead,S N'Zonzi,M Etherington,J Walters,P Crouch,H Lloris,K Walker,M Dawson,S Caulker,J Vertonghen,A Lennon,T Huddlestone,S Parker,C Dempsey,G Bale,E Adebayor
12,2012-13,"3:00pm, Sunday 12th May 2013.",Goodison Park,"39,475.",Everton,2,64.7,18,7,11,0,88.4,0,7,3,0,0,0,7,11,1,0,West Ham,0,35.3,7,2,5,0,73.9,0,1,1,0,0,0,12,6,2,0,1 - 2,0 - 2,2 - 2,4 - 2,4 - 1,2 - 1,1 - 2,1 - 1,3 - 3,3 - 0,1 - 4,4 - 0,T Howard,S Coleman,P Jagielka,S Distin,L Baines,K Mirallas,D Gibson,L Osman,S Pienaar,M Fellaini,V Anichebe,J Jaaskelainen,G Demel,J Collins,W Reid,J O'Brien,M Diamé,G O'Neil,J Collison,K Nolan,M Jarvis,A Carroll
13,2012-13,"3:00pm, Sunday 12th May 2013.",Craven Cottage,"25,640.",Fulham,1,48.4,7,5,2,0,87.9,0,7,3,0,0,0,1,11,0,0,Liverpool,3,51.6,14,7,7,0,87.7,0,8,2,0,0,0,11,1,1,0,2 - 0,1 - 2,1 - 1,0 - 1,0 - 3,0 - 3,5 - 0,2 - 1,2 - 0,2 - 1,1 - 0,2 - 2,M Schwarzer,S Riether,A Hughes,B Hangeland,K Richardson,D Duff,G Karagounis,E Enoh,A Kacaniklic,B Ruiz,D Berbatov,P Reina,A Wisdom,S Coates,J Carragher,G Johnson,J Henderson,L Leiva,J Shelvey,S Downing,D Sturridge,P Coutinho
14,2012-13,"3:00pm, Sunday 12th May 2013.",Carrow Road,"26,837.",Norwich,4,48.1,11,7,4,0,80.7,0,8,2,0,0,0,11,7,2,0,W Brom,0,51.9,6,4,2,0,81.6,0,2,2,0,0,0,7,11,1,0,0 - 0,3 - 1,1 - 1,2 - 1,1 - 0,2 - 1,0 - 2,1 - 1,0 - 0,0 - 2,3 - 3,2 - 2,J Ruddy,R Martin,R Bennett,S Bassong,J Garrido,R Snodgrass,J Howson,B Johnson,A Pilkington,W Hoolahan,G Holt,B Foster,S Reid,G McAuley,J Olsson,G Popov,J Morrison,C Yacob,Y Mulumbu,M Rosenberg,S Long,R Lukaku
15,2012-13,"3:00pm, Sunday 12th May 2013.",Kiyan Prince Foundation Stadium,"17,278.",QPR,1,56.2,10,2,5,3,72.8,0,2,7,90.9,38.7,1,9,7,1,0,Newcastle,2,43.8,11,4,3,4,66.4,0,2,4,79.2,61.3,1,10,8,2,1,1 - 0,3 - 2,0 - 3,0 - 0,0 - 2,0 - 0,2 - 1,1 - 1,1 - 4,3 - 1,1 - 1,1 - 1,R Green,J Bosingwa,C Hill,N Onuoha,A Traore,A Townsend,J Jenas,S Mbia,J Hoilett,L Remy,B Zamora,R Elliot,M Debuchy,F Coloccini,M Williamson,M Yanga-Mbiwa,Y Cabaye,C Tiote,J Gutiérrez,H Ben Arfa,P Cisse,Y Gouffran
16,2012-13,"3:00pm, Sunday 12th May 2013.",Stadium of Light,"41,988.",S'land,1,36,3,2,1,0,63.1,0,3,1,0,0,0,9,10,0,0,So'ton,1,64,11,8,3,0,74.7,0,10,1,0,0,0,10,9,2,0,2 - 1,2 - 0,2 - 2,1 - 3,1 - 0,2 - 0,4 - 3,2 - 0,3 - 3,2 - 0,1 - 0,2 - 5,S Mignolet,P Bardsley,J O'Shea,C Cuellar,D Rose,S Larsson,A N'Diaye,J Colback,J McClean,A Johnson,D Graham,A Boruc,N Clyne,J Hooiveld,J Fonte,L Shaw,S Davis,M Schneiderlin,J Cork,A Lallana,J Rodriguez,R Lambert
17,2012-13,"4:00pm, Sunday 12th May 2013.",Old Trafford,"75,572.",Man Utd,2,52.1,13,6,7,0,87.8,0,7,2,0,0,0,5,7,0,0,Swansea ,1,47.9,7,2,5,0,85.8,0,5,0,0,0,0,7,3,0,0,1 - 2,0 - 1,5 - 0,0 - 0,2 - 1,4 - 1,1 - 1,2 - 0,2 - 0,1 - 1,1 - 1,1 - 2,D De Gea,P Jones,R Ferdinand,N Vidic,P Evra,M Carrick,P Scholes,D Welbeck,S Kagawa,J Hernández,R van Persie,G Tremmel,N Taylor,Chico ,A Williams,D Tiendalli,N Dyer,W Routledge,L Britton,J de Guzmán,P Hernández,Michu 
18,2012-13,"12:45pm, Saturday 11th May 2013.",Villa Park,"42,084.",A Villa,1,43.2,15,2,6,7,79.8,0,6,4,68.4,50,3,13,8,1,1,Chelsea,2,56.8,15,7,3,5,82.8,2,7,2,75,50,1,8,13,2,1,3 - 4,0 - 3,1 - 0,7 - 2,0 - 1,3 - 0,3 - 0,3 - 0,4 - 0,0 - 0,0 - 0,3 - 3,B Guzan,E Lichaj,R Vlaar,N Baker,J Bennett,A Westwood,F Delph,Y Sylla,A Weimann,C Benteke,G Agbonlahor,P Cech,C Azpilicueta,G Cahill,J Terry,A Cole,Ramires ,F Lampard,V Moses,J Mata,E Hazard,D Ba
19,2012-13,"7:45pm, Wednesday 8th May 2013.",Stamford Bridge,"41,581.",Chelsea,2,44.1,11,5,6,0,73.1,0,6,3,0,0,0,6,16,1,0,Tottenham,2,55.9,12,5,7,0,83.8,0,5,3,0,0,0,17,6,2,0,3 - 0,3 - 0,4 - 0,0 - 0,0 - 0,3 - 3,3 - 1,2 - 1,0 - 1,1 - 0,3 - 0,3 - 3,P Cech,C Azpilicueta,G Cahill,B Ivanovic,A Cole,Ramires ,D Luiz,Oscar ,J Mata,E Hazard,F Torres,H Lloris,K Walker,M Dawson,J Vertonghen,B Assou-Ekotto,S Parker,T Huddlestone,A Lennon,G Bale,L Holtby,E Adebayor
20,2012-13,"7:45pm, Tuesday 7th May 2013.",Etihad Stadium,"46,158.",Man City,1,53.6,15,7,8,0,82,0,6,0,0,0,0,10,9,2,0,W Brom,0,46.4,15,7,8,0,78.8,0,8,1,0,0,0,10,10,1,0,3 - 0,1 - 0,3 - 0,1 - 1,3 - 1,1 - 0,0 - 2,1 - 1,0 - 0,0 - 2,3 - 3,2 - 2,J Hart,M Richards,K Touré,J Lescott,A Kolarov,J García,J Rodwell,J Milner,C Tévez,S Nasri,E Dzeko,B Myhill,G Tamas,C Dawson,J Olsson,B Jones,Y Mulumbu,J Morrison,C Yacob,L Ridgewell,M Rosenberg,R Lukaku
21,2012-13,"7:45pm, Tuesday 7th May 2013.",DW Stadium,"18,550.",Wigan ,2,53.2,13,8,5,0,84.2,0,4,1,0,0,0,15,13,2,0,Swansea ,3,46.8,9,4,5,0,82.9,0,4,1,0,0,0,13,14,2,0,0 - 1,2 - 3,0 - 2,1 - 1,0 - 1,0 - 1,1 - 1,2 - 0,2 - 0,1 - 1,1 - 1,1 - 2,Joel ,E Boyce,G Caldwell,P Scharner,R Espinoza,J McCarthy,B Watson,J McArthur,S Maloney,C McManaman,A Kone,M Vorm,D Tiendalli,G Monk,A Williams,B Davies,A Rangel,L Britton,J de Guzmán,W Routledge,I Shechter,P Hernández
22,2012-13,"8:00pm, Monday 6th May 2013.",Stadium of Light,"38,130.",S'land,1,47.6,10,3,7,0,71.6,0,5,0,0,0,0,8,11,2,1,Stoke,1,52.4,8,3,5,0,71.4,0,6,3,0,0,0,11,8,2,0,2 - 1,2 - 0,2 - 2,1 - 3,1 - 0,2 - 0,2 - 3,1 - 0,0 - 2,3 - 2,2 - 2,2 - 0,S Mignolet,J Colback,C Cuellar,J O'Shea,D Rose,S Larsson,C Gardner,A N'Diaye,J McClean,A Johnson,D Graham,A Begovic,R Shotton,R Shawcross,R Huth,M Wilson,S N'Zonzi,C Adam,D Whitehead,J Walters,P Crouch,C Jerome
23,2012-13,"1:30pm, Sunday 5th May 2013.",Anfield,"44,991.",Liverpool,0,54.8,11,3,8,0,78.7,0,3,3,0,0,0,10,10,1,0,Everton,0,45.2,9,2,7,0,75.1,0,5,1,0,0,0,11,10,2,0,5 - 0,2 - 1,2 - 0,2 - 1,1 - 0,2 - 2,1 - 2,0 - 2,2 - 2,4 - 2,4 - 1,2 - 1,P Reina,G Johnson,J Carragher,D Agger,Jose Enrique ,L Leiva,S Gerrard,S Downing,J Henderson,P Coutinho,D Sturridge,T Howard,S Coleman,P Jagielka,S Distin,L Baines,K Mirallas,L Osman,D Gibson,S Pienaar,M Fellaini,V Anichebe
24,2012-13,"4:00pm, Sunday 5th May 2013.",Old Trafford,"75,500.",Man Utd,0,48.7,8,2,6,0,84.2,0,2,5,0,0,0,14,9,2,1,Chelsea,1,51.3,12,3,9,0,84.5,0,7,2,0,0,0,10,14,1,0,1 - 2,0 - 1,5 - 0,0 - 0,2 - 1,4 - 1,3 - 0,3 - 0,4 - 0,0 - 0,0 - 0,3 - 3,A Lindegaard,Rafael ,J Evans,N Vidic,P Evra,P Jones,Anderson ,T Cleverley,A Valencia,R van Persie,R Giggs,P Cech,C Azpilicueta,B Ivanovic,D Luiz,A Cole,Ramires ,F Lampard,Oscar ,J Mata,V Moses,D Ba
25,2012-13,"3:00pm, Saturday 4th May 2013.",Craven Cottage,"24,087.",Fulham,2,49,17,10,7,0,80.7,0,3,2,0,0,0,16,6,2,0,Reading,4,51,16,10,6,0,81.7,0,3,3,0,0,0,10,15,1,0,2 - 0,1 - 2,1 - 1,0 - 1,0 - 3,0 - 3,0 - 3,2 - 3,4 - 2,3 - 0,1 - 0,0 - 0,M Schwarzer,S Riether,P Senderos,B Hangeland,J Riise,D Duff,G Karagounis,E Enoh,U Emanuelson,B Ruiz,D Berbatov,A McCarthy,S Kelly,S Morrison,A Mariappa,C Gunter,D Guthrie,J Karacan,G McCleary,H Robson-Kanu,J McAnuff,P Pogrebnyak
26,2012-13,"3:00pm, Saturday 4th May 2013.",Carrow Road,"26,842.",Norwich,1,53.7,7,2,5,0,71.8,0,6,2,0,0,0,16,13,2,0,A Villa,2,46.3,10,4,6,0,72.8,0,5,1,0,0,0,13,15,3,0,0 - 0,3 - 1,1 - 1,2 - 1,1 - 0,2 - 1,3 - 4,0 - 3,1 - 0,7 - 2,0 - 1,3 - 0,M Bunn,R Martin,S Bassong,R Bennett,J Garrido,R Snodgrass,B Johnson,J Howson,A Pilkington,W Hoolahan,G Holt,B Guzan,M Lowton,R Vlaar,N Baker,J Bennett,A Westwood,F Delph,Y Sylla,G Agbonlahor,C Benteke,A Weimann
27,2012-13,"3:00pm, Saturday 4th May 2013.",The Liberty Stadium,"20,242.",Swansea ,0,38.1,7,1,6,0,80.2,0,4,2,0,0,0,9,10,0,0,Man City,0,61.9,7,3,4,0,87.5,0,4,2,0,0,0,10,9,0,0,1 - 1,2 - 0,2 - 0,1 - 1,1 - 1,1 - 2,3 - 0,1 - 0,3 - 0,1 - 1,3 - 1,1 - 0,M Vorm,A Rangel,Chico ,A Williams,B Davies,L Britton,J de Guzmán,W Routledge,N Dyer,P Hernández,Michu ,J Hart,P Zabaleta,V Kompany,M Nastasic,G Clichy,Y Touré,J Milner,S Nasri,G Barry,D Silva,S Agüero
28,2012-13,"3:00pm, Saturday 4th May 2013.",White Hart Lane,"36,190.",Tottenham,1,49.5,4,1,3,0,76.1,0,5,5,0,0,0,10,10,1,0,So'ton,0,50.5,6,3,3,0,75.2,0,5,2,0,0,0,10,9,1,0,3 - 1,2 - 1,0 - 1,1 - 0,3 - 0,3 - 3,4 - 3,2 - 0,3 - 3,2 - 0,1 - 0,2 - 5,H Lloris,K Walker,M Dawson,J Vertonghen,B Assou-Ekotto,A Lennon,T Huddlestone,M Dembélé,C Dempsey,G Bale,J Defoe,A Boruc,N Clyne,J Hooiveld,J Fonte,L Shaw,J Cork,S Davis,J Rodriguez,Guly ,A Lallana,R Lambert
29,2012-13,"3:00pm, Saturday 4th May 2013.",The Hawthorns,"25,756.",W Brom,2,47.9,13,8,5,0,77.6,0,7,0,0,0,0,9,7,4,0,Wigan ,3,52.1,11,5,6,0,84,0,5,1,0,0,0,9,9,3,0,0 - 2,1 - 1,0 - 0,0 - 2,3 - 3,2 - 2,0 - 1,2 - 3,0 - 2,1 - 1,0 - 1,0 - 1,B Foster,B Jones,G McAuley,J Olsson,L Ridgewell,C Yacob,Y Mulumbu,G Dorrans,S Long,M Rosenberg,R Lukaku,Joel ,R Stam,E Boyce,P Scharner,J Beausejour,J McCarthy,B Watson,J Gomez,C McManaman,A Kone,S Maloney
30,2012-13,"3:00pm, Saturday 4th May 2013.",Boleyn Ground,"34,962.",West Ham,0,45.8,7,3,4,0,71.3,0,7,6,0,0,0,13,12,1,0,Newcastle,0,54.2,8,3,5,0,80.4,0,3,4,0,0,0,13,12,1,0,1 - 2,1 - 1,3 - 3,3 - 0,1 - 4,4 - 0,2 - 1,1 - 1,1 - 4,3 - 1,1 - 1,1 - 1,J Jaaskelainen,G Demel,J Collins,W Reid,J O'Brien,M Diamé,G O'Neil,R Vaz Te,K Nolan,M Jarvis,A Carroll,R Elliot,D Simpson,S Taylor,F Coloccini,M Yanga-Mbiwa,H Ben Arfa,Y Cabaye,C Tiote,Y Gouffran,J Gutiérrez,P Cisse
31,2012-13,"5:30pm, Saturday 4th May 2013.",Kiyan Prince Foundation Stadium,"18,178.",QPR,0,41.2,10,4,6,0,75.9,0,3,5,0,0,0,8,6,2,0,Arsenal,1,58.8,7,7,0,0,83.5,0,7,5,0,0,0,9,8,1,0,1 - 0,3 - 2,0 - 3,0 - 0,0 - 2,0 - 0,4 - 1,1 - 0,3 - 0,0 - 1,2 - 1,0 - 1,R Green,T Ben Haim,N Onuoha,C Hill,A Traore,A Townsend,J Jenas,S Mbia,L Remy,J Park,B Zamora,W Szczesny,B Sagna,P Mertesacker,L Koscielny,N Monreal,A Ramsey,M Arteta,T Rosicky,T Walcott,S Cazorla,L Podolski
32,2012-13,"8:00pm, Monday 29th April 2013.",Villa Park,"37,428.",A Villa,6,55.5,12,11,1,0,83.3,0,4,2,0,0,0,10,15,0,0,S'land,1,44.5,6,2,4,0,81.1,0,4,1,0,0,0,15,10,3,1,3 - 4,0 - 3,1 - 0,7 - 2,0 - 1,3 - 0,2 - 1,2 - 0,2 - 2,1 - 3,1 - 0,2 - 0,B Guzan,M Lowton,R Vlaar,N Baker,J Bennett,A Westwood,F Delph,Y Sylla,A Weimann,C Benteke,G Agbonlahor,S Mignolet,P Bardsley,J O'Shea,C Cuellar,D Rose,S Larsson,A N'Diaye,C Gardner,A Johnson,S Sessegnon,D Graham
33,2012-13,"1:30pm, Sunday 28th April 2013.",The Madejski Stadium,"23,388.",Reading,0,46.1,11,5,6,0,74.3,0,9,1,0,0,0,12,15,0,0,QPR,0,53.9,12,2,10,0,78.8,0,7,2,0,0,0,16,12,2,0,0 - 3,2 - 3,4 - 2,3 - 0,1 - 0,0 - 0,1 - 0,3 - 2,0 - 3,0 - 0,0 - 2,0 - 0,A McCarthy,C Gunter,A Mariappa,S Morrison,S Kelly,G McCleary,J Karacan,D Guthrie,J McAnuff,P Pogrebnyak,N Blackman,R Green,J Bosingwa,C Hill,N Onuoha,A Traore,J Jenas,E Granero,S Mbia,A Taarabt,L Remy,J Bothroyd
34,2012-13,"3:00pm, Sunday 28th April 2013.",Stamford Bridge,"41,780.",Chelsea,2,51.8,15,8,7,0,85.4,0,6,3,0,0,0,9,11,1,0,Swansea ,0,48.2,8,3,5,0,86.9,0,3,1,0,0,0,11,9,3,0,3 - 0,3 - 0,4 - 0,0 - 0,0 - 0,3 - 3,1 - 1,2 - 0,2 - 0,1 - 1,1 - 1,1 - 2,P Cech,C Azpilicueta,G Cahill,J Terry,A Cole,D Luiz,Ramires ,Oscar ,J Mata,E Hazard,D Ba,M Vorm,A Rangel,Chico ,A Williams,B Davies,S Ki,L Britton,W Routledge,J de Guzmán,P Hernández,Michu 
35,2012-13,"4:00pm, Sunday 28th April 2013.",Emirates Stadium,"60,112.",Arsenal,1,51.8,12,6,6,0,80.8,0,7,1,0,0,0,11,11,3,0,Man Utd,1,48.2,9,4,5,0,82.5,0,2,1,0,0,0,12,11,5,0,4 - 1,1 - 0,3 - 0,0 - 1,2 - 1,0 - 1,1 - 2,0 - 1,5 - 0,0 - 0,2 - 1,4 - 1,W Szczesny,B Sagna,P Mertesacker,L Koscielny,K Gibbs,M Arteta,A Ramsey,T Rosicky,S Cazorla,T Walcott,L Podolski,D De Gea,Rafael ,R Ferdinand,J Evans,P Evra,A Valencia,M Carrick,P Jones,Nani ,W Rooney,R van Persie
36,2012-13,"12:45pm, Saturday 27th April 2013.",Etihad Stadium,"47,189.",Man City,2,62,14,8,6,0,87.5,0,9,3,0,0,0,9,7,1,0,West Ham,1,38,7,3,4,0,77.5,0,4,2,0,0,0,7,9,3,0,3 - 0,1 - 0,3 - 0,1 - 1,3 - 1,1 - 0,1 - 2,1 - 1,3 - 3,3 - 0,1 - 4,4 - 0,J Hart,P Zabaleta,V Kompany,J Lescott,G Clichy,Y Touré,G Barry,D Silva,S Nasri,C Tévez,S Agüero,J Jaaskelainen,J O'Brien,W Reid,J Collins,G Demel,G O'Neil,M Diamé,R Vaz Te,K Nolan,M Jarvis,A Carroll
37,2012-13,"3:00pm, Saturday 27th April 2013.",Goodison Park,"34,563.",Everton,1,53.9,13,4,9,0,81,0,7,4,0,0,0,12,16,1,0,Fulham,0,46.1,3,0,3,0,79.9,0,2,4,0,0,0,17,12,3,0,1 - 2,0 - 2,2 - 2,4 - 2,4 - 1,2 - 1,2 - 0,1 - 2,1 - 1,0 - 1,0 - 3,0 - 3,T Howard,S Coleman,P Jagielka,S Distin,L Baines,K Mirallas,L Osman,M Fellaini,S Pienaar,N Jelavic,V Anichebe,M Schwarzer,S Manolev,P Senderos,B Hangeland,K Richardson,U Emanuelson,G Karagounis,E Enoh,A Kacaniklic,B Ruiz,D Berbatov
38,2012-13,"3:00pm, Saturday 27th April 2013.",St. Mary's Stadium,"31,946.",So'ton,0,61.7,15,3,12,0,81.8,0,7,2,0,0,0,9,11,2,2,W Brom,3,38.3,9,8,1,0,65.1,0,6,4,0,0,0,11,9,2,1,4 - 3,2 - 0,3 - 3,2 - 0,1 - 0,2 - 5,0 - 2,1 - 1,0 - 0,0 - 2,3 - 3,2 - 2,A Boruc,N Clyne,M Yoshida,J Hooiveld,D Fox,M Schneiderlin,S Davis,J Cork,R Lambert,J Rodriguez,A Lallana,B Foster,S Reid,J Olsson,G McAuley,L Ridgewell,C Yacob,G Dorrans,M Fortuné,J Morrison,R Lukaku,S Long
