,year,date,venue,attendance,home_team,home_goals,home_Possession %,home_Total Shots,home_On Target,home_Off Target,home_Blocked,home_Passing %,home_Clear-Cut Chances,home_Corners,home_Offsides,home_Tackles %,home_Aerial Duels %,home_Saves,home_Fouls Committed,home_Fouls Won,home_Yellow Cards,home_Red Cards,away_team,away_goals,away_Possession %,away_Total Shots,away_On Target,away_Off Target,away_Blocked,away_Passing %,away_Clear-Cut Chances,away_Corners,away_Offsides,away_Tackles %,away_Aerial Duels %,away_Saves,away_Fouls Committed,away_Fouls Won,away_Yellow Cards,away_Red Cards,home_form_1,home_form_2,home_form_3,home_form_4,home_form_5,home_form_6,away_form_1,away_form_2,away_form_3,away_form_4,away_form_5,away_form_6,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
690,2015-16,"7:45pm, Wednesday 2nd March 2016.",Emirates Stadium,"59,905.",Arsenal,1,62.6,17,4,7,6,86.3,2,7,3,75,60,0,8,11,0,0,Swansea ,2,37.4,11,2,5,4,79.1,2,3,3,78.9,40,3,11,8,2,0,4 - 1,1 - 0,3 - 0,0 - 1,2 - 1,0 - 1,1 - 1,2 - 0,2 - 0,1 - 1,1 - 1,1 - 2,P Cech,H Bellerin,P Mertesacker,Gabriel Paulista ,N Monreal,A Ramsey,F Coquelin,J Campbell,M Özil,A Sánchez,O Giroud,L Fabianski,K Naughton,J Amat,A Williams,S Kingsley,L Fer,J Cork,S Ki,A Ayew,W Routledge,B Gomis
691,2015-16,"7:45pm, Wednesday 2nd March 2016.",Bet365 Stadium,"27,331.",Stoke,1,55.3,9,2,5,2,80.4,0,5,1,75.9,31.6,3,11,6,1,0,Newcastle,0,44.7,5,3,1,1,75.9,0,1,1,72.2,68.4,1,6,10,0,0,2 - 3,1 - 0,0 - 2,3 - 2,2 - 2,2 - 0,2 - 1,1 - 1,1 - 4,3 - 1,1 - 1,1 - 1,J Butland,P Bardsley,G Cameron,P Wollscheid,E Pieters,G Imbula,G Whelan,X Shaqiri,I Afellay,M Arnautovic,J Walters,R Elliot,D Janmaat,S Taylor,J Lascelles,P Dummett,J Shelvey,J Colback,M Sissoko,G Wijnaldum,Y Gouffran,A Mitrovic
692,2015-16,"7:45pm, Wednesday 2nd March 2016.",Upton Park,"34,977.",West Ham,1,34.9,14,3,6,5,56.8,0,6,7,63.2,42.9,2,10,11,0,0,Tottenham,0,65.1,10,3,6,1,73.3,1,3,2,68.8,57.1,2,11,10,3,0,1 - 2,1 - 1,3 - 3,3 - 0,1 - 4,4 - 0,3 - 1,2 - 1,0 - 1,1 - 0,3 - 0,3 - 3,Adrián ,C Kouyaté,J Collins,A Ogbonna,A Cresswell,M Noble,P Obiang,M Lanzini,M Antonio,E Emenike,D Payet,H Lloris,K Trippier,T Alderweireld,K Wimmer,B Davies,E Dier,R Mason,N Chadli,C Eriksen,E Lamela,H Kane
693,2015-16,"8:00pm, Wednesday 2nd March 2016.",Anfield,"43,597.",Liverpool,3,49.6,11,7,3,1,76.7,2,3,4,79.4,50,1,14,14,0,0,Man City,0,50.4,4,1,2,1,75.7,0,2,1,77.8,50,4,14,14,1,0,5 - 0,2 - 1,2 - 0,2 - 1,1 - 0,2 - 2,3 - 0,1 - 0,3 - 0,1 - 1,3 - 1,1 - 0,S Mignolet,J Flanagan,K Touré,D Lovren,N Clyne,J Milner,J Henderson,E Can,A Lallana,R Firmino,D Origi,J Hart,P Zabaleta,V Kompany,N Otamendi,G Clichy,Fernando ,Fernandinho ,J Navas,D Silva,R Sterling,S Agüero
694,2015-16,"8:00pm, Wednesday 2nd March 2016.",Old Trafford,"75,272.",Man Utd,1,61.3,14,3,6,5,78.4,1,9,2,85.7,18.2,3,7,16,1,0,Watford,0,38.7,13,4,6,3,68.1,1,7,0,88.5,81.8,2,17,7,2,0,1 - 2,0 - 1,5 - 0,0 - 0,2 - 1,4 - 1,3 - 2,0 - 1,1 - 1,1 - 1,3 - 1,1 - 0,D De Gea,G Varela,T Fosu-Mensah,D Blind,M Rojo,A Herrera,M Schneiderlin,A Martial,J Mata,Memphis Depay ,M Rashford,H Gomes,A Nyom,S Prödl,M Britos,J Holebas,A Abdi,V Behrami,B Watson,E Capoue,T Deeney,O Ighalo
695,2015-16,"7:45pm, Tuesday 1st March 2016.",Villa Park,"29,755.",A Villa,1,46.5,14,5,4,5,82.6,0,9,0,80,51.7,3,8,7,3,0,Everton,3,53.5,10,7,1,2,82,6,8,1,59.1,48.3,4,7,7,1,0,3 - 4,0 - 3,1 - 0,7 - 2,0 - 1,3 - 0,1 - 2,0 - 2,2 - 2,4 - 2,4 - 1,2 - 1,B Guzan,A Hutton,M Richards,J Lescott,C Clark,A Cissokho,L Bacuna,I Gueye,A Westwood,J Ayew,G Agbonlahor,Joel ,S Coleman,P Jagielka,R Funes Mori,B Oviedo,J McCarthy,G Barry,A Lennon,R Barkley,K Mirallas,R Lukaku
696,2015-16,"7:45pm, Tuesday 1st March 2016.",Vitality Stadium,"11,033.",B'mouth,2,45.4,9,4,2,3,72.6,1,10,1,83.3,42.6,1,11,15,0,0,So'ton,0,54.6,6,1,3,2,77.1,2,2,4,84.6,57.4,2,18,10,0,0,0 - 1,1 - 1,1 - 0,1 - 1,1 - 1,0 - 0,4 - 3,2 - 0,3 - 3,2 - 0,1 - 0,2 - 5,A Boruc,A Smith,S Francis,S Cook,C Daniels,M Ritchie,A Surman,H Arter,M Gradel,B Afobe,J King,F Forster,V van Dijk,J Fonte,M Yoshida,C Soares,J Ward-Prowse,O Romeu,R Bertrand,S Mané,S Long,C Austin
697,2015-16,"7:45pm, Tuesday 1st March 2016.",The King Power Stadium,"32,018.",Leicester,2,65,22,4,11,7,76.8,4,11,1,73.9,49.1,1,10,7,0,0,W Brom,2,35,11,3,6,2,61.5,2,3,4,71.4,50.9,4,8,8,2,0,4 - 0,4 - 1,2 - 1,1 - 0,3 - 0,0 - 1,0 - 2,1 - 1,0 - 0,0 - 2,3 - 3,2 - 2,K Schmeichel,D Simpson,W Morgan,R Huth,C Fuchs,R Mahrez,A King,D Drinkwater,M Albrighton,S Okazaki,J Vardy,B Foster,C Dawson,G McAuley,J Olsson,J Chester,S Sessegnon,D Fletcher,C Yacob,C Gardner,S Rondón,S Berahino
698,2015-16,"7:45pm, Tuesday 1st March 2016.",Carrow Road,"27,091.",Norwich,1,47,13,2,7,4,77.4,2,4,3,46.2,54.5,0,17,5,3,0,Chelsea,2,53,10,2,4,4,82.1,1,4,2,63.6,45.5,2,5,17,2,0,0 - 0,3 - 1,1 - 1,2 - 1,1 - 0,2 - 1,3 - 0,3 - 0,4 - 0,0 - 0,0 - 0,3 - 3,J Ruddy,Ivo Pinto ,R Bennett,R Martin,T Klose,R Brady,N Redmond,A Tettey,J Howson,W Hoolahan,C Jerome,T Courtois,C Azpilicueta,G Cahill,B Ivanovic,R Kenedy,C Fàbregas,N Matic,B Traoré,Oscar ,E Hazard,D Costa
699,2015-16,"7:45pm, Tuesday 1st March 2016.",Stadium of Light,"39,795.",S'land,2,59.2,17,6,7,4,77,0,4,0,88.2,56.1,3,11,14,1,0,C Palace,2,40.8,13,5,4,4,65.5,0,5,3,84.6,43.9,4,14,8,1,0,2 - 1,2 - 0,2 - 2,1 - 3,1 - 0,2 - 0,0 - 2,2 - 1,1 - 1,0 - 4,1 - 2,3 - 1,V Mannone,D Yedlin,L Koné,J O'Shea,P van Aanholt,J Kirchhoff,D N'Doye,Y M'Vila,J Rodwell,W Khazri,J Defoe,W Hennessey,J Ward,S Dann,D Delaney,M Kelly,Y Cabaye,M Jedinak,W Zaha,J Mutch,Y Bolasie,C Wickham
700,2015-16,"2:05pm, Sunday 28th February 2016.",Old Trafford,"75,329.",Man Utd,3,38.9,7,5,1,1,76.4,1,2,2,75,28.6,3,21,15,4,0,Arsenal,2,61.1,13,5,5,3,84.2,3,3,1,57.1,71.4,2,15,21,3,0,1 - 2,0 - 1,5 - 0,0 - 0,2 - 1,4 - 1,4 - 1,1 - 0,3 - 0,0 - 1,2 - 1,0 - 1,D De Gea,G Varela,M Carrick,D Blind,M Rojo,M Schneiderlin,J Lingard,A Herrera,J Mata,Memphis Depay ,M Rashford,P Cech,H Bellerin,Gabriel Paulista ,L Koscielny,N Monreal,F Coquelin,A Ramsey,D Welbeck,M Özil,A Sánchez,T Walcott
701,2015-16,"2:05pm, Sunday 28th February 2016.",White Hart Lane,"35,922.",Tottenham,2,57.2,34,15,13,6,77.6,5,7,3,72.7,59.5,3,11,14,2,0,Swansea ,1,42.8,10,4,2,4,65.1,2,7,3,66.7,40.5,13,14,11,3,0,3 - 1,2 - 1,0 - 1,1 - 0,3 - 0,3 - 3,1 - 1,2 - 0,2 - 0,1 - 1,1 - 1,1 - 2,H Lloris,K Walker,T Alderweireld,K Wimmer,D Rose,E Dier,D Alli,H Son,C Eriksen,E Lamela,H Kane,L Fabianski,A Rangel,F Fernandez,A Williams,N Taylor,J Cork,L Britton,S Ki,G Sigurdsson,A Ayew,A Paloschi
702,2015-16,"12:45pm, Saturday 27th February 2016.",Upton Park,"34,946.",West Ham,1,52.8,9,3,6,0,71,1,5,0,88.2,46.9,4,11,6,1,0,S'land,0,47.2,13,4,6,3,65.3,1,6,2,80.8,53.1,2,9,11,0,0,1 - 2,1 - 1,3 - 3,3 - 0,1 - 4,4 - 0,2 - 1,2 - 0,2 - 2,1 - 3,1 - 0,2 - 0,Adrián ,S Byram,J Collins,A Ogbonna,A Cresswell,C Kouyaté,M Noble,M Lanzini,M Antonio,E Emenike,D Payet,V Mannone,D Yedlin,L Koné,J O'Shea,P van Aanholt,J Kirchhoff,D N'Doye,L Cattermole,Y M'Vila,W Khazri,J Defoe
703,2015-16,"3:00pm, Saturday 27th February 2016.",The King Power Stadium,"32,114.",Leicester,1,58.1,13,3,5,5,72.1,2,3,1,85.7,46,1,9,9,0,0,Norwich,0,41.9,9,1,5,3,68.5,1,4,4,76.5,54,2,11,9,2,0,4 - 0,4 - 1,2 - 1,1 - 0,3 - 0,0 - 1,0 - 0,3 - 1,1 - 1,2 - 1,1 - 0,2 - 1,K Schmeichel,D Amartey,W Morgan,R Huth,C Fuchs,R Mahrez,D Drinkwater,N Kanté,M Albrighton,S Okazaki,J Vardy,J Ruddy,Ivo Pinto ,R Bennett,R Martin,T Klose,R Brady,N Redmond,A Tettey,J Howson,S Naismith,C Jerome
