,home_Possession %,home_Total Shots,home_On Target,home_Off Target,home_Blocked,home_Passing %,home_Clear-Cut Chances,home_Corners,home_Offsides,home_Tackles %,home_Aerial Duels %,home_Saves,home_Fouls Committed,home_Fouls Won,home_Yellow Cards,home_Red Cards,away_Possession %,away_Total Shots,away_On Target,away_Off Target,away_Blocked,away_Passing %,away_Clear-Cut Chances,away_Corners,away_Offsides,away_Tackles %,away_Aerial Duels %,away_Saves,away_Fouls Committed,away_Fouls Won,away_Yellow Cards,away_Red Cards,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,home_Possession %_moving,home_Total Shots_moving,home_On Target_moving,home_Off Target_moving,home_Blocked_moving,home_Passing %_moving,home_Clear-Cut Chances_moving,home_Corners_moving,home_Offsides_moving,home_Tackles %_moving,home_Aerial Duels %_moving,home_Saves_moving,home_Fouls Committed_moving,home_Fouls Won_moving,home_Yellow Cards_moving,home_Red Cards_moving,home_goals_moving,home_goal_difference_moving,away_Possession %_moving,away_Total Shots_moving,away_On Target_moving,away_Off Target_moving,away_Blocked_moving,away_Passing %_moving,away_Clear-Cut Chances_moving,away_Corners_moving,away_Offsides_moving,away_Tackles %_moving,away_Aerial Duels %_moving,away_Saves_moving,away_Fouls Committed_moving,away_Fouls Won_moving,away_Yellow Cards_moving,away_Red Cards_moving,away_goals_moving,away_goal_difference_moving
0,58.55208020050125,11.725814536340852,6.024561403508772,5.627568922305765,0.07368421052631578,84.66280701754386,0.021052631578947368,7.214536340852131,1.82406015037594,1.5705263157894738,0.976842105263158,0.07368421052631578,9.264160401002506,10.979949874686717,1.181453634085213,0.09072681704260652,46.49017543859649,9.328320802005013,4.276190476190476,4.904761904761905,0.14736842105263157,75.58736842105264,0.07368421052631578,4.690225563909775,2.454636591478697,2.6242105263157898,1.7336842105263157,0.07368421052631578,11.480701754385965,10.383458646616543,1.555889724310777,0.08671679197994989,77,61,83,70,78,84,70,81,86,84,81,72,68,73,76,79,78,77,73,71,67,74,64.4,13.0,6.8,6.2,0.0,88.87999999999997,0.0,6.8,1.0,0.0,0.0,0.0,8.0,11.2,0.6,0.0,2.0,1.8,50.30000000000001,9.2,4.8,4.4,0.0,77.47999999999999,0.0,4.0,3.8,0.0,0.0,0.0,13.0,10.8,2.6,0.0,1.8,-0.6
1,55.457523809523806,15.426666666666668,6.744761904761905,7.678095238095239,1.003809523809524,79.15961904761906,0.17714285714285713,7.032380952380953,2.525714285714286,11.383809523809525,7.286095238095238,0.39809523809523817,10.430476190476192,12.17904761904762,1.201904761904762,0.02857142857142857,42.95062656641604,8.746365914786967,3.86015037593985,4.84812030075188,0.0380952380952381,68.73984962406014,0.0,4.477192982456141,1.5273182957393483,4.121253132832081,2.6566917293233088,0.5989974937343358,12.475187969924812,10.669172932330827,2.055639097744361,0.14536340852130325,85,81,81,83,79,83,82,84,82,88,81,72,70,75,63,74,77,75,70,65,72,73,54.8,17.2,7.2,8.6,1.4,81.20000000000002,0.2,7.2,1.8,17.4,13.040000000000001,0.4,13.2,13.6,1.4,0.0,1.8,1.4,45.42,9.8,5.0,4.8,0.0,78.1,0.0,4.6,1.2,0.0,0.0,0.0,13.2,14.2,2.4,0.2,2.0,0.2
2,37.21600000000001,9.379999999999999,4.12,5.0,0.26,69.562,0.12000000000000002,5.380000000000001,1.9600000000000002,9.14,4.3660000000000005,0.38000000000000006,10.88,9.780000000000001,1.8000000000000003,0.0,55.457543859649135,9.046616541353384,3.541854636591479,5.396992481203007,0.10776942355889725,82.17879699248121,0.10776942355889725,4.904260651629073,1.6756892230576441,4.68812030075188,2.703809523809524,0.13533834586466165,10.710275689223058,9.691228070175438,1.3704260651629072,0.021052631578947368,72,74,73,74,67,73,75,71,72,75,73,75,63,74,65,66,74,75,74,69,74,78,39.03999999999999,10.6,5.0,5.2,0.4,68.05999999999999,0.2,6.4,0.8,19.04,8.48,0.8,11.0,10.6,1.8,0.0,1.8,0.8,62.1,8.2,2.2,5.6,0.4,84.84,0.4,6.4,1.0,15.24,8.42,0.6,10.6,10.8,1.8,0.0,1.0,-0.4
3,55.1624060150376,11.53934837092732,5.176942355889724,6.159899749373434,0.2025062656641604,81.00020050125313,0.1393483709273183,7.824561403508773,2.4466165413533836,5.97609022556391,3.8947368421052637,0.2721804511278196,9.35137844611529,11.75438596491228,1.2786967418546367,0.0380952380952381,55.10210526315789,11.37092731829574,5.8345864661654145,5.483709273182958,0.05263157894736842,80.75238095238096,0.06315789473684211,6.479699248120301,1.9042606516290728,2.4126315789473685,1.6778947368421055,0.05263157894736842,10.750375939849624,9.479699248120301,1.5478696741854638,0.08671679197994989,82,79,73,79,60,79,80,80,78,76,80,85,73,80,82,70,80,64,78,82,77,71,62.879999999999995,11.6,4.8,6.8,0.0,83.92000000000002,0.0,9.2,3.2,0.0,0.0,0.0,7.8,12.4,1.2,0.0,1.8,1.2,52.52,10.4,5.6,4.8,0.0,78.59999999999998,0.0,4.4,2.4,0.0,0.0,0.0,8.8,8.2,1.0,0.0,2.6,1.4
4,45.794,10.540000000000001,4.42,5.4399999999999995,0.6799999999999999,72.91,0.0,4.3999999999999995,2.6599999999999997,16.508000000000003,14.682,0.7200000000000002,10.58,9.68,1.1400000000000001,0.06,55.08315789473684,10.143358395989976,4.875187969924812,4.874185463659148,0.39398496240601505,80.1593984962406,0.3042606516290727,5.227067669172933,2.8340852130325813,10.091428571428573,6.046015037593985,0.33283208020050126,9.818045112781956,10.91027568922306,1.618045112781955,0.061152882205513785,68,71,79,66,72,68,75,68,71,68,73,80,80,76,79,79,79,85,79,78,86,86,44.29999999999999,11.0,5.2,5.8,0.0,69.6,0.0,3.8,2.0,14.4,7.7200000000000015,1.0,11.0,7.8,1.2,0.0,1.6,0.0,56.48000000000002,7.8,3.6,4.2,0.0,82.82000000000002,0.0,5.2,2.4,0.0,0.0,0.0,12.4,13.0,2.4,0.2,1.0,0.0
5,59.835689223057656,14.361904761904762,6.3162907268170425,7.2631578947368425,0.7824561403508772,81.79769423558898,0.23909774436090225,7.60701754385965,1.6656641604010027,8.595939849624061,5.245614035087719,0.10877192982456141,10.880701754385965,8.6796992481203,1.7814536340852132,0.02857142857142857,56.62478468899522,9.92153110047847,4.28421052631579,5.486124401913876,0.15119617224880383,78.25224880382775,0.04688995215311005,5.241148325358852,2.3014354066985647,3.941531100478469,2.627464114832536,0.15598086124401916,10.911004784688995,9.266985645933016,1.5875598086124405,0.021052631578947368,82,82,79,80,78,86,81,78,79,87,86,70,75,75,78,74,75,76,75,75,74,77,70.24000000000001,15.8,6.4,9.4,0.0,88.11999999999998,0.0,9.8,1.2,2.842170943040401e-15,1.4210854715202005e-15,0.0,10.6,9.2,2.0,0.0,2.0,1.4,62.260000000000005,13.6,5.4,7.6,0.6,81.48000000000005,0.2,5.6,2.0,16.3,12.28,0.8,9.4,8.0,2.2,0.0,1.6,0.2
6,51.41894736842106,11.863157894736844,4.93984962406015,6.608020050125314,0.31528822055137845,76.44350877192984,0.061152882205513785,6.371428571428572,2.2431077694235593,5.679097744360902,4.2550877192982455,0.1644110275689223,11.846115288220552,8.531328320802006,1.5027568922305763,0.08972431077694235,41.61769423558897,8.273182957393484,3.272681704260652,4.947869674185464,0.05263157894736842,70.49067669172932,0.0,4.823057644110276,2.0907268170426065,3.7129323308270683,2.2316290726817045,0.2325814536340852,10.83558897243108,9.616040100250627,1.9498746867167922,0.08671679197994989,79,75,75,79,66,74,70,75,73,74,76,76,71,74,75,70,71,80,77,75,74,71,51.33999999999999,13.0,5.6,7.4,0.0,76.89999999999999,0.0,6.8,2.8,0.0,0.0,0.0,12.8,11.0,1.6,0.0,0.2,-1.8,32.04,5.8,2.0,3.8,0.0,65.68000000000002,0.0,5.8,2.2,0.0,0.0,0.0,9.6,8.0,2.2,0.4,1.0,0.4
7,46.73810526315789,9.376842105263158,3.72,5.393684210526317,0.26315789473684215,71.42105263157896,0.14105263157894737,4.726315789473684,1.9305263157894736,8.434315789473684,6.081263157894738,0.1831578947368421,11.993684210526318,8.802105263157895,1.8084210526315792,0.14105263157894737,54.937684210526314,13.901052631578947,6.753684210526316,6.473684210526317,0.6736842105263159,80.708,0.38315789473684214,5.770526315789474,2.3684210526315788,13.181684210526317,8.70084210526316,0.34105263157894744,10.454736842105264,10.227368421052631,1.728421052631579,0.010526315789473684,82,73,78,72,73,74,73,70,73,77,78,82,74,82,81,78,78,79,77,81,82,79,41.44,8.4,4.0,4.4,0.0,71.52000000000001,0.0,5.0,2.0,0.0,1.4210854715202005e-15,0.0,13.6,8.8,2.4,0.0,1.6,0.0,56.260000000000005,13.8,6.4,5.6,1.8,81.50000000000004,0.4,4.0,1.2,29.0,23.040000000000003,1.0,12.2,10.2,2.0,0.0,2.6,0.4
8,58.55208020050125,11.725814536340852,6.024561403508772,5.627568922305765,0.07368421052631578,84.66280701754386,0.021052631578947368,7.214536340852131,1.82406015037594,1.5705263157894738,0.976842105263158,0.07368421052631578,9.264160401002506,10.979949874686717,1.181453634085213,0.09072681704260652,42.95062656641604,8.746365914786967,3.86015037593985,4.84812030075188,0.0380952380952381,68.73984962406014,0.0,4.477192982456141,1.5273182957393483,4.121253132832081,2.6566917293233088,0.5989974937343358,12.475187969924812,10.669172932330827,2.055639097744361,0.14536340852130325,77,61,83,81,78,84,83,81,86,84,79,65,70,75,63,74,75,62,70,65,72,73,64.17999999999999,15.8,7.6,6.8,1.4,88.89999999999996,0.2,6.8,1.2,14.66,7.82,0.8,7.2,10.0,0.8,0.0,2.0,1.8,43.32,12.0,6.4,5.4,0.2,79.83999999999999,0.4,4.2,1.4,15.0,10.0,1.0,10.8,13.4,1.8,0.0,2.2,0.2
9,46.26070175438597,11.884711779448622,4.819047619047619,6.476190476190477,0.5894736842105263,73.74947368421054,0.29473684210526313,5.4751879699248125,2.389974937343358,10.496842105263159,6.934736842105263,0.29473684210526313,10.92280701754386,9.819548872180452,1.6521303258145363,0.061152882205513785,54.17509523809523,12.35666666666667,5.0790476190476195,6.562380952380953,0.7152380952380952,79.74347619047622,0.25857142857142856,6.82952380952381,2.452857142857143,7.7352380952380955,5.864380952380953,0.24238095238095242,10.071904761904761,11.366190476190477,1.6576190476190478,0.11428571428571428,72,68,73,76,79,78,77,73,71,67,74,86,81,81,83,82,56,82,80,84,88,85,44.30000000000002,11.6,4.8,5.2,1.6,76.13999999999999,0.0,4.6,2.0,33.019999999999996,20.3,1.0,10.2,10.8,2.2,0.0,1.4,0.0,50.79999999999998,11.0,5.6,5.4,0.0,78.36000000000003,0.0,6.6,3.2,0.0,0.0,0.0,11.2,11.2,2.0,0.0,2.0,1.6
